Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
blend-coffee-beans,Blend Coffee Beans,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0562/7736/8889/files/instagram7.jpg?v=1639619482"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0562/7736/8889/files/instagram9.jpg?v=1639619482"" alt=""""></div>
</div>
</div>",Kaffe - Coffee Shops & Cafes Shopify Theme,,"","",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/0704/3501/2929/products/1.jpg?v=1673578889,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
blend-coffee-beans,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0704/3501/2929/products/2.jpg?v=1673578889,2,,,,,,,,,,,,,,,,,,,,,,,,
blend-coffee-beans,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0704/3501/2929/products/3.jpg?v=1673578889,3,,,,,,,,,,,,,,,,,,,,,,,,
cacam-coffee,Cacam Coffee,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0562/7736/8889/files/instagram7.jpg?v=1639619482"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0562/7736/8889/files/instagram9.jpg?v=1639619482"" alt=""""></div>
</div>
</div>",Kaffe - Coffee Shops & Cafes Shopify Theme,,"","black, violet",true,Color,black,,,,,"",0.0,,0,deny,manual,22.00,,true,true,"",https://cdn.shopify.com/s/files/1/0704/3501/2929/products/1_db406840-ed91-4d2f-bf79-78fc1a229e78.jpg?v=1673578896,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0704/3501/2929/products/1_db406840-ed91-4d2f-bf79-78fc1a229e78.jpg?v=1673578896,kg,,,,,active
cacam-coffee,,,,,,,,,violet,,,,,"",0.0,,0,deny,manual,22.00,,true,true,"",https://cdn.shopify.com/s/files/1/0704/3501/2929/products/2_eb74137e-89ea-4055-8d21-80af59ac7147.jpg?v=1673578896,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0704/3501/2929/products/2_eb74137e-89ea-4055-8d21-80af59ac7147.jpg?v=1673578896,kg,,,,,
cacam-coffee,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0704/3501/2929/products/3_e1b36c63-79a9-4a45-9552-c9a2f553d236.jpg?v=1673578896,3,,,,,,,,,,,,,,,,,,,,,,,,
coffea-canephor,Coffea Canephor,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0562/7736/8889/files/instagram7.jpg?v=1639619482"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0562/7736/8889/files/instagram9.jpg?v=1639619482"" alt=""""></div>
</div>
</div>",Kaffe - Coffee Shops & Cafes Shopify Theme,,"","",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,23.00,25.00,true,true,"",https://cdn.shopify.com/s/files/1/0704/3501/2929/products/1_eeb2969b-9be3-4d06-906a-b3bc3321f9d7.jpg?v=1673578901,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
coffea-canephor,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0704/3501/2929/products/2_b77e598a-7ff2-4d0d-aec6-d8210b8d10b6.jpg?v=1673578901,2,,,,,,,,,,,,,,,,,,,,,,,,
coffea-canephor,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0704/3501/2929/products/3_752c964d-a52d-4589-8e1d-2c0cfad4360d.jpg?v=1673578901,3,,,,,,,,,,,,,,,,,,,,,,,,
coffee-beans,Coffee Beans,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0562/7736/8889/files/instagram7.jpg?v=1639619482"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0562/7736/8889/files/instagram9.jpg?v=1639619482"" alt=""""></div>
</div>
</div>",Kaffe - Coffee Shops & Cafes Shopify Theme,,"","",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,20.00,24.00,true,true,"",https://cdn.shopify.com/s/files/1/0704/3501/2929/products/1_8d23dedd-148a-4e2e-8ea8-a723a80a6624.jpg?v=1673578906,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
coffee-beans,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0704/3501/2929/products/2_f06bc9a9-17c8-4873-b3b6-9625ab3f5308.jpg?v=1673578906,2,,,,,,,,,,,,,,,,,,,,,,,,
coffee-beans,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0704/3501/2929/products/3_70576e20-feb1-434d-830d-7957efd4f60e.jpg?v=1673578906,3,,,,,,,,,,,,,,,,,,,,,,,,
coffee-beans-people,Coffee Beans People,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0562/7736/8889/files/instagram7.jpg?v=1639619482"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0562/7736/8889/files/instagram9.jpg?v=1639619482"" alt=""""></div>
</div>
</div>",Kaffe - Coffee Shops & Cafes Shopify Theme,,"","black, blue, red",true,Color,blue,,,,,"",0.0,,0,deny,manual,19.00,,true,true,"",https://cdn.shopify.com/s/files/1/0704/3501/2929/products/1_0ff40b1d-c05a-4caa-a078-e4c665d10b8e.jpg?v=1673578912,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0704/3501/2929/products/1_0ff40b1d-c05a-4caa-a078-e4c665d10b8e.jpg?v=1673578912,kg,,,,,active
coffee-beans-people,,,,,,,,,red,,,,,"",0.0,,0,deny,manual,19.00,,true,true,"",https://cdn.shopify.com/s/files/1/0704/3501/2929/products/2_0a7d8292-6657-42a7-a5fb-638ed4b5c802.jpg?v=1673578912,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0704/3501/2929/products/2_0a7d8292-6657-42a7-a5fb-638ed4b5c802.jpg?v=1673578912,kg,,,,,
coffee-beans-people,,,,,,,,,black,,,,,"",0.0,,0,deny,manual,19.00,,true,true,"",https://cdn.shopify.com/s/files/1/0704/3501/2929/products/3_ab68766b-4b37-4693-be78-767606c60e84.jpg?v=1673578912,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0704/3501/2929/products/3_ab68766b-4b37-4693-be78-767606c60e84.jpg?v=1673578912,kg,,,,,
coffee-grinder,Coffee Grinder,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0562/7736/8889/files/instagram7.jpg?v=1639619482"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0562/7736/8889/files/instagram9.jpg?v=1639619482"" alt=""""></div>
</div>
</div>",Kaffe - Coffee Shops & Cafes Shopify Theme,,"","",true,Title,Default Title,,,,,"",0.0,,0,deny,manual,21.00,,true,true,"",https://cdn.shopify.com/s/files/1/0704/3501/2929/products/1_7aa7889a-dbbf-44a6-8b12-a5ba83042673.jpg?v=1673578918,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
coffee-grinder,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0704/3501/2929/products/2.1.jpg?v=1673578918,2,,,,,,,,,,,,,,,,,,,,,,,,
coffee-grinder,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0704/3501/2929/products/2_428d4084-1ed9-4686-8379-39f0e4df5438.jpg?v=1673578918,3,,,,,,,,,,,,,,,,,,,,,,,,
coffee-mastems-specialty,Coffee Mastems Specialty,"<div class=""row"">
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0562/7736/8889/files/instagram7.jpg?v=1639619482"" class=""img-ultra"" alt=""""></div>
</div>
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
</div>
<div class=""row"">
<div class=""col-sm-6"">
<div class=""ultra"">
<h3 class=""heading-content"">Things You Need To Know</h3>
<p class=""heading-content"">There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text.</p>
</div>
</div>
<div class=""col-sm-6"">
<div><img src=""https://cdn.shopify.com/s/files/1/0562/7736/8889/files/instagram9.jpg?v=1639619482"" alt=""""></div>
</div>
</div>",Kaffe - Coffee Shops & Cafes Shopify Theme,,"","black, white",true,Color,white,,,,,"",0.0,,0,deny,manual,21.00,,true,true,"",https://cdn.shopify.com/s/files/1/0704/3501/2929/products/1_e94721b2-c8e4-413d-b9b1-e06cbda614ba.jpg?v=1673578923,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0704/3501/2929/products/1_e94721b2-c8e4-413d-b9b1-e06cbda614ba.jpg?v=1673578923,kg,,,,,active
coffee-mastems-specialty,,,,,,,,,black,,,,,"",0.0,,0,deny,manual,21.00,,true,true,"",https://cdn.shopify.com/s/files/1/0704/3501/2929/products/2_a0d5f4ee-62c0-4eb7-8564-1fb4e6200a27.jpg?v=1673578923,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0704/3501/2929/products/2_a0d5f4ee-62c0-4eb7-8564-1fb4e6200a27.jpg?v=1673578923,kg,,,,,
coffee-mastems-specialty,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0704/3501/2929/products/3_c3ab2378-138a-423a-92bf-deaa9d86e8c0.jpg?v=1673578923,3,,,,,,,,,,,,,,,,,,,,,,,,
